강의실,요일,시간,합계
다니엘관,일,5,0.0
다니엘관,일,6,0.0
다니엘관,일,7,0.0
다니엘관,일,8,0.0
다니엘관,일,9,0.0
다니엘관,일,10,0.0
다니엘관,일,11,0.0
다니엘관,일,12,0.0
다니엘관,일,13,0.0
다니엘관,일,14,0.0
다니엘관,일,15,0.0
디자인관,월,1,113.0
디자인관,월,2,33.0
디자인관,월,3,80.0
디자인관,월,4,0.0
디자인관,월,5,94.0
디자인관,월,6,31.0
디자인관,월,7,20.0
디자인관,월,8,0.0
디자인관,월,9,56.0
디자인관,월,10,27.0
디자인관,월,11,0.0
디자인관,월,12,0.0
디자인관,월,13,0.0
디자인관,월,14,0.0
디자인관,월,15,0.0
디자인관,화,1,49.0
디자인관,화,2,0.0
디자인관,화,3,49.0
디자인관,화,4,0.0
디자인관,화,5,69.0
디자인관,화,6,0.0
디자인관,화,7,0.0
디자인관,화,8,0.0
디자인관,화,9,69.0
디자인관,화,10,0.0
디자인관,화,11,0.0
디자인관,화,12,0.0
디자인관,화,13,0.0
디자인관,화,14,0.0
디자인관,화,15,0.0
디자인관,수,1,73.0
디자인관,수,2,13.0
디자인관,수,3,84.0
디자인관,수,4,21.0
디자인관,수,5,12.0
디자인관,수,6,21.0
디자인관,수,7,30.0
디자인관,수,8,4.0
디자인관,수,9,22.0
디자인관,수,10,0.0
디자인관,수,11,0.0
디자인관,수,12,0.0
디자인관,수,13,0.0
디자인관,수,14,0.0
디자인관,수,15,0.0
디자인관,목,1,75.0
디자인관,목,2,0.0
디자인관,목,3,75.0
디자인관,목,4,0.0
디자인관,목,5,66.0
디자인관,목,6,0.0
디자인관,목,7,6.0
디자인관,목,8,3.0
디자인관,목,9,30.0
디자인관,목,10,27.0
디자인관,목,11,0.0
디자인관,목,12,0.0
디자인관,목,13,0.0
디자인관,목,14,0.0
디자인관,목,15,0.0
디자인관,금,1,16.0
디자인관,금,2,0.0
디자인관,금,3,16.0
디자인관,금,4,0.0
디자인관,금,5,64.0
디자인관,금,6,0.0
디자인관,금,7,0.0
디자인관,금,8,1.0
디자인관,금,9,63.0
디자인관,금,10,0.0
디자인관,금,11,0.0
디자인관,금,12,0.0
디자인관,금,13,0.0
디자인관,금,14,0.0
디자인관,금,15,0.0
디자인관,토,1,0.0
디자인관,토,2,0.0
디자인관,토,3,0.0
디자인관,토,4,0.0
디자인관,토,5,0.0
디자인관,토,6,0.0
디자인관,토,7,0.0
디자인관,토,8,0.0
디자인관,토,9,0.0
디자인관,토,10,0.0
디자인관,토,11,0.0
디자인관,토,12,0.0
디자인관,토,13,0.0
디자인관,토,14,0.0
디자인관,토,15,0.0
디자인관,일,1,0.0
디자인관,일,2,0.0
디자인관,일,3,0.0
디자인관,일,4,0.0
디자인관,일,5,0.0
디자인관,일,6,0.0
디자인관,일,7,0.0
디자인관,일,8,0.0
디자인관,일,9,0.0
디자인관,일,10,0.0
디자인관,일,11,0.0
디자인관,일,12,0.0
디자인관,일,13,0.0
디자인관,일,14,0.0
디자인관,일,15,0.0
바울관,월,1,215.0
바울관,월,2,39.0
바울관,월,3,236.0
바울관,월,4,330.0
바울관,월,5,162.0
바울관,월,6,211.0
바울관,월,7,120.0
바울관,월,8,229.0
바울관,월,9,42.0
바울관,월,10,0.0
바울관,월,11,0.0
바울관,월,12,0.0
바울관,월,13,0.0
바울관,월,14,0.0
바울관,월,15,0.0
바울관,화,1,152.0
바울관,화,2,191.0
바울관,화,3,344.0
바울관,화,4,171.0
바울관,화,5,164.0
바울관,화,6,229.0
바울관,화,7,128.0
바울관,화,8,111.0
바울관,화,9,100.0
바울관,화,10,0.0
바울관,화,11,0.0
바울관,화,12,0.0
바울관,화,13,0.0
바울관,화,14,0.0
바울관,화,15,0.0
바울관,수,1,0.0
바울관,수,2,95.0
바울관,수,3,0.0
바울관,수,4,95.0
바울관,수,5,0.0
바울관,수,6,196.0
바울관,수,7,25.0
바울관,수,8,196.0
바울관,수,9,25.0
바울관,수,10,0.0
바울관,수,11,0.0
바울관,수,12,0.0
바울관,수,13,0.0
바울관,수,14,0.0
바울관,수,15,2.0
바울관,목,1,33.0
바울관,목,2,159.0
바울관,목,3,62.0
바울관,목,4,159.0
바울관,목,5,29.0
바울관,목,6,132.0
바울관,목,7,25.0
바울관,목,8,112.0
바울관,목,9,45.0
바울관,목,10,0.0
바울관,목,11,0.0
바울관,목,12,10.0
바울관,목,13,0.0
바울관,목,14,0.0
바울관,목,15,0.0
바울관,금,1,0.0
바울관,금,2,56.0
바울관,금,3,0.0
바울관,금,4,78.0
바울관,금,5,1.0
바울관,금,6,67.0
바울관,금,7,1.0
바울관,금,8,45.0
바울관,금,9,0.0
바울관,금,10,0.0
바울관,금,11,0.0
바울관,금,12,0.0
바울관,금,13,0.0
바울관,금,14,0.0
바울관,금,15,0.0
바울관,토,1,0.0
바울관,토,2,0.0
바울관,토,3,0.0
바울관,토,4,0.0
바울관,토,5,0.0
바울관,토,6,0.0
바울관,토,7,0.0
바울관,토,8,0.0
바울관,토,9,0.0
바울관,토,10,0.0
바울관,토,11,0.0
바울관,토,12,0.0
바울관,토,13,0.0
바울관,토,14,0.0
바울관,토,15,0.0
바울관,일,1,0.0
바울관,일,2,0.0
바울관,일,3,0.0
바울관,일,4,0.0
바울관,일,5,0.0
바울관,일,6,0.0
바울관,일,7,0.0
바울관,일,8,0.0
바울관,일,9,0.0
바울관,일,10,0.0
바울관,일,11,0.0
바울관,일,12,0.0
바울관,일,13,0.0
바울관,일,14,0.0
바울관,일,15,0.0
사무엘관,월,1,31.0
사무엘관,월,2,68.0
사무엘관,월,3,38.0
사무엘관,월,4,67.0
사무엘관,월,5,61.0
사무엘관,월,6,53.0
사무엘관,월,7,26.0
사무엘관,월,8,16.0
사무엘관,월,9,0.0
사무엘관,월,10,0.0
사무엘관,월,11,0.0
사무엘관,월,12,0.0
사무엘관,월,13,0.0
사무엘관,월,14,0.0
사무엘관,월,15,0.0
사무엘관,화,1,52.0
사무엘관,화,2,104.0
사무엘관,화,3,34.0
사무엘관,화,4,26.0
사무엘관,화,5,127.0
사무엘관,화,6,64.0
사무엘관,화,7,27.0
사무엘관,화,8,14.0
사무엘관,화,9,0.0
사무엘관,화,10,0.0
사무엘관,화,11,0.0
사무엘관,화,12,0.0
사무엘관,화,13,0.0
사무엘관,화,14,0.0
사무엘관,화,15,0.0
사무엘관,수,1,50.0
사무엘관,수,2,47.0
사무엘관,수,3,70.0
사무엘관,수,4,95.0
사무엘관,수,5,41.0
사무엘관,수,6,43.0
사무엘관,수,7,22.0
사무엘관,수,8,14.0
사무엘관,수,9,0.0
사무엘관,수,10,0.0
사무엘관,수,11,0.0
사무엘관,수,12,0.0
사무엘관,수,13,0.0
사무엘관,수,14,0.0
사무엘관,수,15,0.0
사무엘관,목,1,30.0
사무엘관,목,2,46.0
사무엘관,목,3,30.0
사무엘관,목,4,46.0
사무엘관,목,5,0.0
사무엘관,목,6,36.0
사무엘관,목,7,0.0
사무엘관,목,8,36.0
사무엘관,목,9,0.0
사무엘관,목,10,0.0
사무엘관,목,11,0.0
사무엘관,목,12,0.0
사무엘관,목,13,0.0
사무엘관,목,14,0.0
사무엘관,목,15,0.0
사무엘관,금,1,19.0
사무엘관,금,2,18.0
사무엘관,금,3,19.0
사무엘관,금,4,48.0
사무엘관,금,5,0.0
사무엘관,금,6,30.0
사무엘관,금,7,0.0
사무엘관,금,8,0.0
사무엘관,금,9,0.0
사무엘관,금,10,0.0
사무엘관,금,11,0.0
사무엘관,금,12,0.0
사무엘관,금,13,0.0
사무엘관,금,14,0.0
사무엘관,금,15,0.0
사무엘관,토,1,0.0
사무엘관,토,2,0.0
사무엘관,토,3,0.0
사무엘관,토,4,0.0
사무엘관,토,5,0.0
사무엘관,토,6,0.0
사무엘관,토,7,0.0
사무엘관,토,8,0.0
사무엘관,토,9,0.0
사무엘관,토,10,0.0
사무엘관,토,11,0.0
사무엘관,토,12,0.0
사무엘관,토,13,0.0
사무엘관,토,14,0.0
사무엘관,토,15,0.0
사무엘관,일,1,0.0
사무엘관,일,2,0.0
사무엘관,일,3,0.0
사무엘관,일,4,0.0
사무엘관,일,5,0.0
사무엘관,일,6,0.0
사무엘관,일,7,0.0
사무엘관,일,8,0.0
사무엘관,일,9,0.0
사무엘관,일,10,0.0
사무엘관,일,11,0.0
사무엘관,일,12,0.0
사무엘관,일,13,0.0
사무엘관,일,14,0.0
사무엘관,일,15,0.0
신학관,월,1,46.0
신학관,월,2,0.0
신학관,월,3,46.0
신학관,월,4,0.0
신학관,월,5,49.0
신학관,월,6,0.0
신학관,월,7,49.0
신학관,월,8,8.0
신학관,월,9,0.0
신학관,월,10,8.0
신학관,월,11,0.0
신학관,월,12,0.0
신학관,월,13,0.0
신학관,월,14,0.0
신학관,월,15,0.0
신학관,화,1,38.0
신학관,화,2,0.0
신학관,화,3,38.0
신학관,화,4,0.0
신학관,화,5,56.0
신학관,화,6,0.0
신학관,화,7,56.0
신학관,화,8,0.0
신학관,화,9,0.0
신학관,화,10,0.0
신학관,화,11,0.0
신학관,화,12,0.0
신학관,화,13,0.0
신학관,화,14,0.0
신학관,화,15,0.0
신학관,수,1,106.0
신학관,수,2,0.0
신학관,수,3,0.0
신학관,수,4,0.0
신학관,수,5,66.0
신학관,수,6,0.0
신학관,수,7,66.0
신학관,수,8,0.0
신학관,수,9,2.0
신학관,수,10,0.0
신학관,수,11,0.0
신학관,수,12,0.0
신학관,수,13,0.0
신학관,수,14,0.0
